event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T16:38:04Z,30,48,30720,-0.006923043634742498,1.2551690936088562,2.9521868377923965,0.2999999999999999,0.72,2066.812177181244
update,2026-03-11T16:39:11Z,31,48,31744,-0.0025425140629522502,1.1003788150846958,2.934259384870529,0.0599999999999999,0.62,2134.3611681461334
update,2026-03-11T16:40:22Z,32,48,32768,-0.003141931927530095,1.156356193125248,2.921152390539646,0.635,0.62,2204.8607342243195
update,2026-03-11T16:41:34Z,33,48,33792,-0.003377195476787165,1.0037802029401064,2.955099694430828,1.06,0.72,2276.812544822693
update,2026-03-11T16:42:43Z,34,48,34816,-0.001850662287324667,1.1084774378687143,2.904527634382248,0.7649999999999999,0.7,2346.499400138855
update,2026-03-11T16:43:54Z,35,48,35840,-0.002447632738039829,1.271179860457778,2.853850357234478,0.8799999999999999,0.7,2417.510668992996
update,2026-03-11T16:45:03Z,36,48,36864,-0.0026893606991507113,1.0280231032520533,2.892301842570305,0.9399999999999998,0.66,2486.5463330745697
update,2026-03-11T16:46:12Z,37,48,37888,-0.004383585008326918,1.1177083179354668,2.8125946819782257,0.31,0.62,2555.5524520874023
update,2026-03-11T16:47:20Z,38,48,38912,-0.004019206156954169,1.0318519677966833,2.802719585597515,1.1649999999999996,0.7,2623.013803958893
update,2026-03-11T16:48:28Z,39,48,39936,-0.0028540482744574547,1.1285324580967426,2.7350088357925415,0.9,0.74,2691.2152769565582
update,2026-03-11T16:49:39Z,40,48,40960,-0.002337878249818459,0.9753128606826067,2.749579533934593,1.4599999999999997,0.76,2762.458841085434
update,2026-03-11T16:50:52Z,41,48,41984,-0.004257317748852074,1.199592873454094,2.668592542409897,1.5299999999999998,0.72,2834.6172380447388
update,2026-03-11T16:52:00Z,42,48,43008,-0.00454434787388891,1.0781621169298887,2.718288391828537,1.225,0.76,2903.4670419692993
update,2026-03-11T16:53:09Z,43,48,44032,-0.0037696134531870484,0.9573559761047363,2.6557630747556686,1.4600000000000002,0.78,2972.1472539901733
update,2026-03-11T16:54:19Z,44,48,45056,-0.002110100700519979,0.888377470895648,2.684504307806492,1.2349999999999999,0.8,3041.8353791236877
update,2026-03-11T16:55:27Z,45,48,46080,-0.0031617737549822778,1.103974673897028,2.624368965625763,1.085,0.72,3109.9754769802094
update,2026-03-11T16:56:36Z,46,48,47104,-0.0021493091990123503,0.9013443738222122,2.7043972834944725,1.54,0.88,3179.422327041626
update,2026-03-11T16:57:45Z,47,48,48128,-0.004025815549539402,0.8150463979691267,2.625552661716938,0.9099999999999998,0.82,3248.4422459602356
update,2026-03-11T16:58:59Z,48,48,49152,-0.0009316192008554935,1.17199488542974,2.5839177891612053,0.7950000000000002,0.72,3322.2561450004578
